eval_idx,dataset_idx,method,noise_strength,n_povs,unified_score,mean_bbox_iou,mean_camera_similarity,detection_f1,count_accuracy
12,12,accumulation,N/A,1,0.18409276344236708,0.0014746936046398488,,0.2857142857142857,0.0
12,12,accumulation,N/A,2,0.31738817857874857,0.0049062149745448345,,0.45333333333333337,0.14285714285714285
12,12,accumulation,N/A,3,0.2825554437940004,0.01469387309635523,,0.6,0.0
12,12,accumulation,N/A,4,0.2983499189266232,0.004135079173958946,,0.3178807947019867,0.14285714285714285
12,12,accumulation,N/A,5,0.2511793161869825,0.0,,0.4255319148936171,0.0
12,12,accumulation,N/A,6,0.3054783467666633,0.007156872581255961,,0.4952380952380952,0.0
12,12,accumulation,N/A,7,0.26842472569890785,0.009573739282089695,,0.5346534653465346,0.0
12,12,refinement,0.5,0,0.28284358363463535,0.011880823815935191,,0.2727272727272727,0.0
12,12,refinement,0.5,1,0.29168891547142034,0.008133482707048017,,0.30414746543778803,0.0
12,12,refinement,0.5,2,0.29026331321399734,0.004965071426464148,,0.28292682926829266,0.0
12,12,refinement,0.5,3,0.30450800082596047,0.016134539975768664,,0.3,0.125
12,12,refinement,0.5,4,0.3291079190075572,0.025274086655686277,,0.3163841807909605,0.14285714285714285
12,12,refinement,0.5,5,0.29910067748139607,0.01120708340844985,,0.3866666666666667,0.0
12,12,refinement,0.5,6,0.3361112021697264,0.007910146859618862,,0.40298507462686567,0.14285714285714285
12,12,refinement,0.5,7,0.3706951667227177,0.0038430704002217894,,0.4786324786324786,0.2857142857142857
12,12,refinement,0.8,0,0.28284358363463535,0.011880823815935191,,0.2727272727272727,0.0
12,12,refinement,0.8,1,0.32658873997806875,0.025741197477178783,,0.4539007092198582,0.0
12,12,refinement,0.8,2,0.2882497338765694,0.036771105065094865,,0.4090909090909091,0.0
12,12,refinement,0.8,3,0.33264202036252294,0.002402047581502684,,0.5255474452554745,0.0
12,12,refinement,0.8,4,0.33247735027287306,0.0031599269929957663,,0.5454545454545455,0.0
12,12,refinement,0.8,5,0.30944677658886854,0.005805183567623222,,0.5842696629213483,0.0
12,12,refinement,0.8,6,0.3946842016248165,0.0019231407568558053,,0.6451612903225806,0.2857142857142857
12,12,refinement,0.8,7,0.2958015864508399,0.003438547921031543,,0.4722222222222222,0.0
13,13,accumulation,N/A,0,0.1810678976380586,0.01809403994504888,,0.020304568527918784,0.0
13,13,accumulation,N/A,1,0.21480882394108064,0.025381736612665014,,0.039999999999999994,0.0
13,13,accumulation,N/A,2,0.18308997200096994,0.007423592874483592,,0.05633802816901409,0.0
13,13,accumulation,N/A,3,0.19581064453139843,0.0231987277327612,,0.03603603603603604,0.0
13,13,accumulation,N/A,4,0.1930838959706085,0.06374204563554423,,0.07547169811320754,0.0
13,13,accumulation,N/A,5,0.6760483964277014,0.14330946105528033,,1.0,1.0
13,13,accumulation,N/A,6,0.17752249898109518,0.0018937736924703023,,0.0625,0.0
13,13,accumulation,N/A,7,0.1883154006905552,0.05596478666259177,,0.09523809523809523,0.0
13,13,refinement,0.5,0,0.1810678976380586,0.01809403994504888,,0.020304568527918784,0.0
13,13,refinement,0.5,1,0.18149006839934417,0.017631112937770713,,0.026845637583892617,0.0
13,13,refinement,0.5,2,0.1805373644367685,0.016988402416886456,,0.02777777777777778,0.0
13,13,refinement,0.5,3,0.18097549040534325,0.0175951310746324,,0.027586206896551724,0.0
13,13,refinement,0.5,4,0.18086806077164677,0.017639322378393236,,0.030534351145038167,0.0
13,13,refinement,0.5,5,0.18227426305889338,0.01892135399141619,,0.03636363636363636,0.0
13,13,refinement,0.5,6,0.18189228477900765,0.01884611938361837,,0.03603603603603604,0.0
13,13,refinement,0.5,7,0.18176544036809647,0.015711971268654475,,0.038461538461538464,0.0
13,13,refinement,0.8,0,0.1810678976380586,0.01809403994504888,,0.020304568527918784,0.0
13,13,refinement,0.8,1,0.1936249318484366,0.01956594124200167,,0.06349206349206349,0.0
13,13,refinement,0.8,2,0.17890412308387682,0.02917190815556584,,0.05479452054794521,0.0
13,13,refinement,0.8,3,0.2110483901488927,0.038189828978385236,,0.03225806451612903,0.0
13,13,refinement,0.8,4,0.16034941476485987,0.0,,0.03448275862068965,0.0
13,13,refinement,0.8,5,0.17764405371574227,0.08534887957984873,,0.04597701149425288,0.0
13,13,refinement,0.8,6,0.18997163003370415,0.02901752128351495,,0.06060606060606061,0.0
13,13,refinement,0.8,7,0.18033643241810507,0.04967656714346481,,0.08333333333333333,0.0
14,14,accumulation,N/A,0,0.2100410940840743,0.0005716899894034206,,0.06060606060606061,0.0
14,14,accumulation,N/A,1,0.4047434007312135,0.2127122356551817,,0.4444444444444445,0.0
14,14,accumulation,N/A,2,0.3844415264765272,0.09383372940629596,,0.30000000000000004,0.0
14,14,accumulation,N/A,3,0.28817501234493165,0.08601016413357777,,0.12121212121212123,0.0
14,14,accumulation,N/A,4,0.32820392356481964,0.05629869221920359,,0.09836065573770493,0.4
14,14,accumulation,N/A,5,0.3310012480182094,0.1178433401600362,,0.4,0.0
14,14,accumulation,N/A,6,0.26976766492880777,0.021634294245264984,,0.24137931034482762,0.0
14,14,accumulation,N/A,7,0.24938151996822613,0.08220323510065893,,0.23076923076923078,0.0
14,14,refinement,0.5,0,0.2100410940840743,0.0005716899894034206,,0.06060606060606061,0.0
14,14,refinement,0.5,1,0.22570311752175148,0.017887960576821366,,0.08641975308641975,0.0
14,14,refinement,0.5,2,0.23221421484903965,0.016420393464511424,,0.10606060606060606,0.0
14,14,refinement,0.5,3,0.23680285473555607,0.019855544017920473,,0.13333333333333333,0.0
14,14,refinement,0.5,4,0.22114056087524342,0.005335542314670649,,0.11764705882352941,0.0
14,14,refinement,0.5,5,0.23065939450510675,0.02034936277194713,,0.1443298969072165,0.0
14,14,refinement,0.5,6,0.2307759182170171,0.01802668903851507,,0.14285714285714288,0.0
14,14,refinement,0.5,7,0.23861918027328266,0.016910581599300593,,0.14285714285714288,0.0
14,14,refinement,0.8,0,0.2100410940840743,0.0005716899894034206,,0.06060606060606061,0.0
14,14,refinement,0.8,1,0.2229293365401038,0.003495088947109995,,0.13592233009708737,0.0
14,14,refinement,0.8,2,0.23984009323732908,0.008719696039949388,,0.2222222222222222,0.0
14,14,refinement,0.8,3,0.29764251854946433,0.015591257476297754,,0.1951219512195122,0.2857142857142857
14,14,refinement,0.8,4,0.24094601230289397,0.010614027744941077,,0.19672131147540986,0.0
14,14,refinement,0.8,5,0.23854856658741952,0.01709443342949956,,0.14285714285714282,0.0
14,14,refinement,0.8,6,0.24658469224472118,0.016761980354479605,,0.21428571428571427,0.0
14,14,refinement,0.8,7,0.23920401053102788,0.002010841235254719,,0.11627906976744187,0.0
15,15,accumulation,N/A,0,0.26836152409148056,0.006243151239112561,,0.2589928057553957,0.0
15,15,accumulation,N/A,1,0.2578136451752767,0.00524723741917429,,0.20338983050847456,0.0
15,15,accumulation,N/A,2,0.17388305325205106,0.0,,0.21052631578947367,0.0
15,15,accumulation,N/A,3,0.3129947551872238,0.0,,0.3582089552238806,0.0
15,15,accumulation,N/A,4,0.2601077901665275,0.019953558653003498,,0.2413793103448276,0.0
15,15,accumulation,N/A,5,0.3733877082261317,0.02073764852511113,,0.38095238095238093,0.2
15,15,accumulation,N/A,6,0.28757236166755107,0.0,,0.24615384615384617,0.0
15,15,accumulation,N/A,7,0.21029899901838012,0.012156186181565271,,0.2222222222222222,0.0
15,15,refinement,0.5,0,0.26836152409148056,0.006243151239112561,,0.2589928057553957,0.0
15,15,refinement,0.5,1,0.25588618042285727,0.002234187403252258,,0.27027027027027023,0.0
15,15,refinement,0.5,2,0.2686568509420314,0.0019116495953878092,,0.32653061224489793,0.0
15,15,refinement,0.5,3,0.26607700175169857,0.0023326305767330632,,0.3137254901960785,0.0
15,15,refinement,0.5,4,0.2846565446545217,0.0019342804290322971,,0.34408602150537637,0.0
15,15,refinement,0.5,5,0.31006127707808007,0.0018189837893057554,,0.3617021276595745,0.0
15,15,refinement,0.5,6,0.3402563352377758,0.001666209526130514,,0.38709677419354843,0.0
15,15,refinement,0.5,7,0.3071117862781765,0.002027042462654869,,0.3908045977011494,0.0
15,15,refinement,0.8,0,0.26836152409148056,0.006243151239112561,,0.2589928057553957,0.0
15,15,refinement,0.8,1,0.2846902900165914,0.013118567238645674,,0.3953488372093023,0.0
15,15,refinement,0.8,2,0.27316574510808905,0.015732718878837156,,0.3421052631578947,0.0
15,15,refinement,0.8,3,0.29792526508086525,0.006993598311849378,,0.345679012345679,0.0
15,15,refinement,0.8,4,0.3175360813515596,0.004293523770595927,,0.3684210526315789,0.16666666666666666
15,15,refinement,0.8,5,0.3263773388668584,0.0014456933247023543,,0.4166666666666667,0.0
15,15,refinement,0.8,6,0.3209326112037031,0.0,,0.41269841269841273,0.0
15,15,refinement,0.8,7,0.3486328680702607,0.01185640177102272,,0.2903225806451613,0.3333333333333333
16,16,accumulation,N/A,0,0.18942379432429488,0.04774945917242467,,0.04968944099378882,0.0
16,16,accumulation,N/A,1,0.3202095355188864,0.026918124973146093,,0.33333333333333337,0.0
16,16,accumulation,N/A,2,0.2818955295976596,0.13490057264094643,,0.2857142857142857,0.0
16,16,accumulation,N/A,3,0.27791254611498845,0.055035367980017985,,0.23529411764705882,0.0
