experiment,method,n_povs,noise_strength,n_samples,unified_score_mean,unified_score_std,mean_bbox_iou_mean,mean_bbox_iou_std,detection_f1_mean,detection_f1_std,count_accuracy_mean,count_accuracy_std
DN-Large (POV),refinement,0,0.8,192,0.24970317969856856,0.0642936798523458,0.016283030763136083,0.023853860211035173,0.18918770306326163,0.16303259724386085,0.015376984126984126,0.04192335247892688
DN-Large (POV),refinement,1,0.5,192,0.2523769718508188,0.06524456540574299,0.01686759338082405,0.023348037686858787,0.2072698864915327,0.17089110486156747,0.023902529761904757,0.057567182603051256
DN-Large (POV),refinement,1,0.8,192,0.26199099218092314,0.06553625732109795,0.021978396512554104,0.028097985720842333,0.24601079483830154,0.18314524981688188,0.02111235119047619,0.06343948493845539
DN-Large (POV),refinement,2,0.5,192,0.2546814155891826,0.06481810218323036,0.01976797289338553,0.0267445565669862,0.21991253885849357,0.17614331884386697,0.01878720238095238,0.04912484665351481
DN-Large (POV),refinement,2,0.8,192,0.2703168978389164,0.0681838042391145,0.024875754961988534,0.03374255202584828,0.2620843975596753,0.18637622886568747,0.0392423115079365,0.07539921299874106
DN-Large (POV),refinement,3,0.5,192,0.25740386007900046,0.06792096732995923,0.018165134866657193,0.022171392502325027,0.2279434017245869,0.17733460755580835,0.027808779761904757,0.058464660879259854
DN-Large (POV),refinement,3,0.8,192,0.273359732507332,0.06653049552384424,0.023718420619683534,0.03106929990748398,0.27916880266155103,0.18852827445970027,0.04217509920634919,0.077589040884288
DN-Large (POV),refinement,4,0.5,192,0.25805047014536525,0.06731817749432732,0.018423681685120052,0.02306266043702624,0.23555807056608802,0.18220066689740677,0.027808779761904757,0.060751989109838214
DN-Large (POV),refinement,4,0.8,192,0.2734161777601545,0.06520093219271879,0.027215385178476895,0.03942117652424176,0.283472053606799,0.19118055039544457,0.03803943452380952,0.07782640222041878
DN-Large (POV),refinement,5,0.5,192,0.2600334287280444,0.06711613071479633,0.01890993153708854,0.024174125809347354,0.2410961037442254,0.18383947009999402,0.024832589285714284,0.05693596740036164
DN-Large (POV),refinement,5,0.8,192,0.27423799438263763,0.06476478113786947,0.030932217406218935,0.045206249666555294,0.2809762509356295,0.18514385179211665,0.03522445436507936,0.07521988039999201
DN-Large (POV),refinement,6,0.5,192,0.2607378412725714,0.068598867431809,0.01844134114077381,0.023083989270000112,0.24584389041831742,0.18504736354707135,0.030443948412698412,0.06772185220923634
DN-Large (POV),refinement,6,0.8,192,0.27930465995313003,0.06570857812766308,0.030224508383612892,0.04259171828169394,0.2870248024154479,0.17874472575161837,0.04572172619047619,0.07920014656294296
DN-Large (POV),refinement,7,0.5,192,0.26116961382658777,0.06773749730846639,0.020328219260887005,0.02495039965298458,0.24671824417451416,0.188184742382593,0.024491567460317457,0.06052124776714473
DN-Large (POV),refinement,7,0.8,192,0.27399997300258927,0.0671418385948201,0.032513969709215315,0.05153907177209956,0.28800330525374557,0.18677669749339149,0.03822544642857142,0.07656715424949541
WS-Large,accumulation,0,,168,0.3774088849814685,0.10782058608299344,0.12751411555332542,0.175655545116692,0.4408806056974903,0.20936174591080162,0.1469600340136054,0.24765197267067565
